service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BPPA6-BP_A6-Sunday-01,0,0,0,0,0,0,1,20260104,20260322
BPPA6-BP_A6-Weekday-01-SDon,1,1,1,1,1,0,0,20260105,20260327
BPPA6-BP_A6-Saturday-01,0,0,0,0,0,1,0,20260110,20260328
BPPA6-BP_H6-Weekday-15,1,1,1,1,1,0,0,20260119,20260119
CPPA6-CP_A6-Sunday-01,0,0,0,0,0,0,1,20260104,20260322
CPPA6-CP_A6-Weekday-01-SDon,1,1,1,1,1,0,0,20260105,20260327
CPPA6-CP_A6-Saturday-01,0,0,0,0,0,1,0,20260110,20260328
CPPA6-CP_H6-Weekday-15,1,1,1,1,1,0,0,20260119,20260119
CPPA6-CP_I6-Saturday-17,0,0,0,0,0,1,0,20260216,20260216
ECPA6-EC_A6-Sunday-01,0,0,0,0,0,0,1,20260104,20260322
ECPA6-EC_A6-Weekday-01-SDon,1,1,1,1,1,0,0,20260105,20260327
ECPA6-EC_A6-Saturday-01,0,0,0,0,0,1,0,20260110,20260328
ECPA6-EC_H6-Weekday-15,1,1,1,1,1,0,0,20260119,20260119
FRPA6-FR_A6-Sunday-01,0,0,0,0,0,0,1,20260104,20260322
FRPA6-FR_A6-Weekday-01-SDon,1,1,1,1,1,0,0,20260105,20260327
FRPA6-FR_A6-Saturday-01,0,0,0,0,0,1,0,20260110,20260328
FRPA6-FR_H6-Weekday-15,1,1,1,1,1,0,0,20260119,20260119
JKPA6-JK_A6-Sunday-01,0,0,0,0,0,0,1,20260104,20260322
JKPA6-JK_A6-Weekday-01-SDon,1,1,1,1,1,0,0,20260105,20260327
JKPA6-JK_A6-Saturday-01,0,0,0,0,0,1,0,20260110,20260328
JKPA6-JK_H6-Weekday-15,1,1,1,1,1,0,0,20260119,20260119
LGPA6-LG_A6-Sunday-01,0,0,0,0,0,0,1,20260104,20260322
LGPA6-LG_A6-Weekday-01-SDon,1,1,1,1,1,0,0,20260105,20260327
LGPA6-LG_A6-Saturday-01,0,0,0,0,0,1,0,20260110,20260328
LGPA6-LG_H6-Weekday-15,1,1,1,1,1,0,0,20260119,20260119
SCPA6-SC_A6-Sunday-01,0,0,0,0,0,0,1,20260104,20260322
SCPA6-SC_A6-Weekday-01-SDon,1,1,1,1,1,0,0,20260105,20260327
SCPA6-SC_A6-Saturday-01,0,0,0,0,0,1,0,20260110,20260328
SCPA6-SC_H6-Weekday-15,1,1,1,1,1,0,0,20260119,20260119
YOPA6-YO_A6-Sunday-01,0,0,0,0,0,0,1,20260104,20260322
YOPA6-YO_A6-Weekday-01,1,1,1,1,1,0,0,20260105,20260327
YOPA6-YO_A6-Saturday-01,0,0,0,0,0,1,0,20260110,20260328
YOPA6-YO_H6-Weekday-15,1,1,1,1,1,0,0,20260119,20260119
