route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
Q06,MTABC,Q6,Jamaica - Sutphin Blvd - Jfk Cargo Area,Via Sutphin Bl. - Rockaway Bl.,3,https://new.mta.info/schedules/bus,EE352E,FFFFFF
Q07,MTABC,Q7,Cypress Hills - Rockaway Blvd - Jfk Travel Plz.,Via Rockaway Bl.,3,https://new.mta.info/schedules/bus,FAA61A,FFFFFF
Q08,MTABC,Q8,Gateway Mall / East Ny - Jamaica,Via 101 Av.,3,https://new.mta.info/schedules/bus,EE352E,FFFFFF
Q09,MTABC,Q9,Jamaica - South Ozone Park,Via Lincoln St. - 130 St.,3,https://new.mta.info/schedules/bus,B933AD,FFFFFF
Q10,MTABC,Q10,Jfk Airtrain - Kew Gardens Via Rockaway,,3,https://new.mta.info/schedules/bus,FAA61A,FFFFFF
Q11,MTABC,Q11,Howard Beach - Elmhurst,Via Cross Bay Bl. - Woodhaven Bl.,3,https://new.mta.info/schedules/bus,6CBE45,FFFFFF
Q18,MTABC,Q18,Astoria - Maspeth,Via 30 Av,3,https://new.mta.info/schedules/bus,FAA61A,FFFFFF
Q19,MTABC,Q19,Flushing - Astoria,Via Astoria Blvd,3,https://new.mta.info/schedules/bus,FAA61A,FFFFFF
Q22,MTABC,Q22,Rockaway Beach Bl / Beach Channel Dr,Via Rockaway Beach Bl. - Beach Channel Dr.,3,https://new.mta.info/schedules/bus,EE352E,FFFFFF
Q23,MTABC,Q23,East Elmhurst - Forest Hills,Via 108 St,3,https://new.mta.info/schedules/bus,FAA61A,FFFFFF
Q25,MTABC,Q25,College Point - Jamaica,Via Parsons Blvd / Kissena Blvd / 127 St,3,https://new.mta.info/schedules/bus,FAA61A,FFFFFF
Q26,MTABC,Q26,College Point - Fresh Meadows,Via College Point Blvd / Parsons Blvd / 46 Av,3,https://new.mta.info/schedules/bus,FAA61A,FFFFFF
Q28,MTABC,Q28,Flushing - Bay Terrace Rush,Via Northern Blvd / Francis Lewis Blvd / Crocheron Av,3,https://new.mta.info/schedules/bus,B933AD,FFFFFF
Q32,MTABC,Q32,Jackson Heights - Penn Station (Midtown),Via Roosevelt Av / Queens Blvd / 5 Av / Madison Av,3,https://new.mta.info/schedules/bus,FAA61A,FFFFFF
Q33,MTABC,Q33,Marine Air Terminal Lga-Jackson Heights,Via Roosevelt Av / 82 & 83 Sts,3,https://new.mta.info/schedules/bus,FAA61A,FFFFFF
Q35,MTABC,Q35,Rockaway Park - Midwood / Brooklyn Coll.,Via Rockaway Beach Bl. - Flatbush Av.,3,https://new.mta.info/schedules/bus,006CB7,FFFFFF
Q37,MTABC,Q37,Kew Gardens - South Ozone Park,,3,https://new.mta.info/schedules/bus,00AEEF,FFFFFF
Q40,MTABC,Q40,South Ozone Park - Jamaica,Via 142 St.,3,https://new.mta.info/schedules/bus,B933AD,FFFFFF
Q41,MTABC,Q41,Jamaica - Howard Beach,,3,https://new.mta.info/schedules/bus,FAA61A,FFFFFF
Q47,MTABC,Q47,East Elmhurst - Glendale,Via 80 St / 74 & 75 Sts / 23 Av,3,https://new.mta.info/schedules/bus,FAA61A,FFFFFF
Q49,MTABC,Q49,East Elmhurst - Jackson Heights,Via 35 Av / 89 & 92 Sts / Astoria Blvd,3,https://new.mta.info/schedules/bus,FAA61A,FFFFFF
Q50,MTABC,Q50,Co-Op City/Pelham Bay - Flushing Ltd,,3,https://new.mta.info/schedules/bus,EE352E,FFFFFF
Q51,MTABC,Q51,Linden Blvd Limited,Via Linden Bl.,3,https://new.mta.info/schedules/bus,EE352E,FFFFFF
Q60,MTABC,Q60,Queens Blvd. - East Midtown,Via Queens Blvd.,3,https://new.mta.info/schedules/bus,FAA61A,FFFFFF
Q63,MTABC,Q63,Flushing - Long Island City Rush,Via Northern Blvd / Jackson Av,3,https://new.mta.info/schedules/bus,B933AD,FFFFFF
Q64,MTABC,Q64,Electchester - Forest Hills,Via Jewel Av,3,https://new.mta.info/schedules/bus,FAA61A,FFFFFF
Q65,MTABC,Q65,Flushing - Jamaica,Via Sanford Av / 164 St,3,https://new.mta.info/schedules/bus,FAA61A,FFFFFF
Q66,MTABC,Q66,Flushing - Long Island City,Via Northern Blvd / 21 St,3,https://new.mta.info/schedules/bus,FAA61A,FFFFFF
Q69,MTABC,Q69,East Elmhurst - Long Island City,Via 21 St / Ditmars Blvd,3,https://new.mta.info/schedules/bus,FAA61A,FFFFFF
Q72,MTABC,Q72,Laguardia Airport - Rego Park,Via Junction Blvd,3,https://new.mta.info/schedules/bus,FAA61A,FFFFFF
Q74,MTABC,Q74,Forest Hills - Qcc Ltd,Via Jewel Av / Horace Harding Expwy,3,https://new.mta.info/schedules/bus,EE352E,FFFFFF
Q80,MTABC,Q80,Jfk Airtrain - Kew Gardens Via Lefferts,,3,https://new.mta.info/schedules/bus,EE352E,FFFFFF
B100,MTABC,B100,Mill Basin - Midwood,Via Fillmore Av / Quentin Rd,3,https://new.mta.info/schedules/bus,B933AD,FFFFFF
B103,MTABC,B103,Canarsie - Downtown Brooklyn Ltd,,3,https://new.mta.info/schedules/bus,FAA61A,FFFFFF
